SEASON,TEAM_NAME,GAME_DATE,MATCHUP,WIN,TEAM_PTS_AVG,TEAM_AST_AVG,TEAM_REB_AVG
2202,Atlanta Hawks,2024-11-18,ATL @ SAC,1,,,
2202,Atlanta Hawks,2024-11-17,ATL @ POR,0,,,
2202,Atlanta Hawks,2024-11-15,ATL vs. WAS,1,,,
2202,Atlanta Hawks,2024-11-12,ATL @ BOS,1,,,
2202,Atlanta Hawks,2024-11-09,ATL vs. CHI,0,,,
2202,Atlanta Hawks,2024-11-08,ATL @ DET,0,,,
2202,Atlanta Hawks,2024-11-06,ATL vs. NYK,1,,,
2202,Atlanta Hawks,2024-11-04,ATL vs. BOS,0,,,
2202,Atlanta Hawks,2024-11-03,ATL @ NOP,1,,,
2202,Atlanta Hawks,2024-11-01,ATL vs. SAC,0,,,
2202,Atlanta Hawks,2024-10-30,ATL @ WAS,0,,,
2202,Atlanta Hawks,2024-10-28,ATL vs. WAS,0,,,
2202,Atlanta Hawks,2024-10-27,ATL @ OKC,0,,,
2202,Atlanta Hawks,2024-10-25,ATL vs. CHA,1,,,
2202,Atlanta Hawks,2024-10-23,ATL vs. BKN,1,,,
2202,Atlanta Hawks,2024-07-20,ATL vs. NYK,0,,,
2202,Atlanta Hawks,2024-07-19,ATL @ CHI,0,,,
2202,Atlanta Hawks,2024-07-17,ATL vs. LAL,0,,,
2202,Atlanta Hawks,2024-07-14,ATL vs. SAS,0,,,
2202,Atlanta Hawks,2024-07-12,ATL @ WAS,0,,,
5202,Atlanta Hawks,2024-04-17,ATL @ CHI,0,,,
2202,Atlanta Hawks,2024-04-14,ATL @ IND,0,,,
2202,Atlanta Hawks,2024-04-12,ATL @ MIN,0,,,
2202,Atlanta Hawks,2024-04-10,ATL vs. CHA,0,,,
2202,Atlanta Hawks,2024-04-09,ATL vs. MIA,0,,,
2202,Atlanta Hawks,2024-04-06,ATL @ DEN,0,,,
2202,Atlanta Hawks,2024-04-04,ATL @ DAL,0,,,
2202,Atlanta Hawks,2024-04-03,ATL vs. DET,1,,,
2202,Atlanta Hawks,2024-04-01,ATL @ CHI,1,,,
2202,Atlanta Hawks,2024-03-30,ATL vs. MIL,0,,,
2202,Atlanta Hawks,2024-03-28,ATL vs. BOS,1,,,
2202,Atlanta Hawks,2024-03-27,ATL vs. POR,1,,,
2202,Atlanta Hawks,2024-03-25,ATL vs. BOS,1,,,
2202,Atlanta Hawks,2024-03-23,ATL vs. CHA,1,,,
2202,Atlanta Hawks,2024-03-21,ATL @ PHX,0,,,
2202,Atlanta Hawks,2024-03-18,ATL @ LAL,0,,,
2202,Atlanta Hawks,2024-03-17,ATL @ LAC,1,,,
2202,Atlanta Hawks,2024-03-15,ATL @ UTA,0,,,
2202,Atlanta Hawks,2024-03-13,ATL @ POR,0,,,
2202,Atlanta Hawks,2024-03-10,ATL vs. NOP,0,,,
2202,Atlanta Hawks,2024-03-08,ATL @ MEM,1,,,
2202,Atlanta Hawks,2024-03-06,ATL vs. CLE,1,,,
2202,Atlanta Hawks,2024-03-05,ATL @ NYK,1,,,
2202,Atlanta Hawks,2024-03-02,ATL @ BKN,0,,,
2202,Atlanta Hawks,2024-02-29,ATL @ BKN,0,,,
2202,Atlanta Hawks,2024-02-27,ATL vs. UTA,1,,,
2202,Atlanta Hawks,2024-02-25,ATL vs. ORL,1,,,
2202,Atlanta Hawks,2024-02-23,ATL vs. TOR,0,,,
2202,Atlanta Hawks,2024-02-14,ATL @ CHA,0,,,
2202,Atlanta Hawks,2024-02-12,ATL vs. CHI,0,,,
2202,Atlanta Hawks,2024-02-10,ATL vs. HOU,1,,,
2202,Atlanta Hawks,2024-02-09,ATL @ PHI,1,,,
2202,Atlanta Hawks,2024-02-07,ATL @ BOS,0,,,
